metric,baseline_raw_r2g,current_phase4,delta,note
n_reachability_agreement,unavailable,35.000000,,raw Raster-to-Graph produces no openings or circulation
n_reference_dangling_node_ratio,36.000000,36.000000,0.000000,
n_reference_duplicate_edge_count,36.000000,36.000000,0.000000,
n_reference_isolated_node_ratio,36.000000,36.000000,0.000000,
n_reference_non_orthogonal_ratio,36.000000,36.000000,0.000000,
n_reference_zero_length_edge_count,36.000000,36.000000,0.000000,
n_space_count_error,unavailable,36.000000,,raw Raster-to-Graph produces no openings or circulation
n_window_f1,36.000000,36.000000,0.000000,
n_window_precision,36.000000,36.000000,0.000000,
n_window_recall,36.000000,36.000000,0.000000,
total_broken_junctions,456.000000,305.000000,-151.000000,
total_disconnected_circulation,0.000000,59.000000,59.000000,
total_duplicate_gaps,0.000000,0.000000,0.000000,
total_false_connections,0.000000,17.000000,17.000000,
total_false_separations,0.000000,59.000000,59.000000,
total_missing_doors,366.000000,135.000000,-231.000000,
total_missing_windows,291.000000,73.000000,-218.000000,
total_mistyped_openings,0.000000,0.000000,0.000000,
total_spurious_doors,0.000000,95.000000,95.000000,
total_spurious_windows,0.000000,6.000000,6.000000,
total_unhosted_openings,0.000000,84.000000,84.000000,
