epoch,train_loss,val_loss,val_vector_ready_score,val_mIoU,foreground_mIoU,pixel_accuracy,foreground_pixel_accuracy,background_IoU,wall_IoU,opening_IoU,room_IoU,icon_IoU,wall_boundary_F1,opening_boundary_F1,clean_pixel_accuracy,clean_foreground_mIoU,clean_wall_IoU,clean_opening_IoU,clean_opening_boundary_F1,original_pixel_accuracy,original_foreground_mIoU,original_wall_IoU,original_opening_IoU,original_opening_boundary_F1,learning_rate,checkpoint_saved,best_updated
22,0.840372,0.838624,0.552785,0.551208,0.507088,0.788511,0.798325,0.727691,0.468584,0.386192,0.710714,0.462862,0.548647,0.436012,0.903592,0.792878,0.77334,0.76612,0.759442,0.675573,0.329422,0.228933,0.215359,0.185518,3.376e-05,True,False
23,0.837265,0.841443,0.551499,0.547481,0.504643,0.784891,0.798565,0.718831,0.46495,0.388461,0.708243,0.456919,0.54503,0.436975,0.89595,0.787603,0.768099,0.769292,0.764739,0.6759,0.330424,0.229447,0.216521,0.181245,3.188e-05,True,False
24,0.835222,0.836573,0.552439,0.552199,0.506534,0.790505,0.79532,0.734859,0.466287,0.384657,0.714049,0.461143,0.546989,0.432614,0.906049,0.79062,0.769408,0.76173,0.754581,0.677111,0.329318,0.226525,0.215046,0.183768,3e-05,True,False
25,0.834374,0.83504,0.551121,0.552572,0.507292,0.790641,0.796854,0.733693,0.469154,0.380194,0.714475,0.465345,0.545366,0.427639,0.907282,0.793059,0.770964,0.765793,0.758126,0.676172,0.329441,0.228095,0.213347,0.177191,2.812e-05,True,False
26,0.83179,0.832456,0.546977,0.550297,0.503149,0.789768,0.790568,0.738889,0.469394,0.371681,0.714914,0.456605,0.546746,0.422338,0.909996,0.795459,0.779129,0.754074,0.7502,0.671777,0.326912,0.228886,0.209714,0.173468,2.624e-05,True,False
27,0.829024,0.834274,0.549658,0.548405,0.503097,0.787016,0.794344,0.729636,0.463733,0.383472,0.711291,0.453891,0.544924,0.430404,0.90218,0.789023,0.768493,0.765503,0.75615,0.673997,0.32834,0.226725,0.214703,0.181101,2.438e-05,True,False
28,0.827877,0.832454,0.553094,0.553951,0.506481,0.79289,0.790512,0.74383,0.46827,0.384164,0.717065,0.456423,0.548728,0.432782,0.914158,0.800033,0.774756,0.770715,0.764064,0.67388,0.328628,0.227509,0.214685,0.179101,2.254e-05,True,False
29,0.825231,0.830481,0.54963,0.550799,0.505672,0.78852,0.796538,0.731304,0.469138,0.378864,0.711821,0.462866,0.54993,0.427673,0.905806,0.793477,0.769999,0.768202,0.758581,0.673417,0.328698,0.2289,0.212623,0.17962,2.073e-05,True,False
30,0.825313,0.828407,0.552431,0.554249,0.507767,0.792225,0.795226,0.740178,0.472872,0.381203,0.715846,0.461145,0.548842,0.430823,0.908786,0.795644,0.777402,0.768229,0.758386,0.677834,0.329812,0.228422,0.213439,0.181367,1.896e-05,True,False
31,0.822033,0.829465,0.554943,0.554986,0.508473,0.792753,0.795327,0.741039,0.46824,0.387924,0.71678,0.460946,0.547162,0.43577,0.909535,0.795674,0.777838,0.763304,0.761239,0.678145,0.33178,0.23262,0.217417,0.183603,1.723e-05,True,True
